time,chest_lead,accel_magnitude,respiration
0.000000,-0.053819,0.014624,0.092690
0.004167,0.020349,-0.012341,0.098309
0.008333,-0.012899,0.005417,0.124514
0.012500,0.022955,0.021967,0.119553
0.016667,0.034395,0.059695,0.126671
0.020833,0.011640,0.141803,0.129300
0.025000,0.077391,0.105276,0.146189
0.029167,0.090725,0.149696,0.168102
0.033333,0.122813,0.174647,0.170105
0.037500,0.113460,0.102844,0.147966
0.041667,0.102607,0.128454,0.178913
0.045833,0.049958,0.145477,0.167868
0.050000,0.087551,0.164058,0.170030
0.054167,0.112801,0.213540,0.207948
0.058333,0.099364,0.182871,0.209278
0.062500,0.132864,0.240012,0.202862
0.066667,0.125833,0.208876,0.218711
0.070833,0.139219,0.256361,0.201127
0.075000,0.197211,0.288370,0.221444
0.079167,0.148675,0.278905,0.234958
0.083333,0.185698,0.295121,0.252929
0.087500,0.149012,0.216317,0.232290
0.091667,0.206571,0.284346,0.260839
0.095833,0.204415,0.254810,0.245675
0.100000,0.203782,0.202897,0.250676
0.104167,0.199344,0.205121,0.277781
0.108333,0.127432,0.270894,0.262239
0.112500,0.157809,0.245972,0.288128
0.116667,0.121067,0.204798,0.282438
0.120833,0.138308,0.208813,0.293584
0.125000,0.200792,0.267370,0.315221
0.129167,0.148266,0.174035,0.315208
0.133333,0.206375,0.186991,0.326060
0.137500,0.156203,0.147180,0.332997
0.141667,0.134465,0.166654,0.329932
0.145833,0.173516,0.156245,0.342015
0.150000,0.204863,0.125154,0.344678
0.154167,0.117108,0.137505,0.333737
0.158333,0.100583,0.132710,0.343259
0.162500,0.096643,0.090873,0.356716
0.166667,0.115540,0.065607,0.376178
0.170833,0.170457,0.106274,0.384355
0.175000,0.172186,0.050503,0.385577
0.179167,0.098283,0.129660,0.386003
0.183333,0.189411,0.098944,0.380724
0.187500,0.105919,0.020291,0.407494
0.191667,0.171511,0.021928,0.389012
0.195833,0.162996,0.063708,0.401810
0.200000,0.084171,0.025338,0.422201
0.204167,0.089980,0.087728,0.405858
0.208333,0.044769,0.008104,0.430099
0.212500,0.037030,0.030769,0.443734
0.216667,0.124838,0.058878,0.445561
0.220833,0.139574,0.032039,0.424624
0.225000,0.110964,0.085212,0.450841
0.229167,0.057094,0.029174,0.455023
0.233333,0.053356,0.004704,0.468744
0.237500,0.050113,0.018056,0.461090
0.241667,0.063548,0.041638,0.464609
0.245833,0.085713,0.082970,0.462142
0.250000,0.029740,0.066811,0.466596
0.254167,0.053926,0.085119,0.479177
0.258333,0.012785,0.127902,0.500655
0.262500,0.045491,0.047783,0.486823
0.266667,0.035583,0.087172,0.509808
0.270833,0.004114,0.148712,0.528304
0.275000,0.050641,0.084966,0.525608
0.279167,0.079247,0.092355,0.513487
0.283333,0.023933,0.143329,0.518885
0.287500,0.041522,0.212272,0.544182
0.291667,0.066886,0.191968,0.543583
0.295833,0.006797,0.256979,0.540729
0.300000,0.001860,0.216976,0.538089
