time,lead_ii,pulse_reference,respiration_belt
0.000000,-0.008956,0.008942,0.109266
0.004167,0.008125,0.018946,0.107713
0.008333,-0.004346,0.000150,0.103243
0.012500,-0.007836,0.005728,0.108121
0.016667,-0.013749,0.026643,0.113385
0.020833,0.017323,0.014384,0.117996
0.025000,0.004789,0.017947,0.126612
0.029167,-0.013248,0.013874,0.141474
0.033333,0.016073,0.011864,0.154275
0.037500,0.026806,0.020328,0.170862
0.041667,0.013630,0.009715,0.168989
0.045833,-0.016130,0.015363,0.178272
0.050000,0.008377,0.014620,0.167539
0.054167,0.005807,0.013388,0.168814
0.058333,-0.013723,0.006271,0.188259
0.062500,0.001951,0.016512,0.187058
0.066667,0.023708,0.013749,0.200117
0.070833,0.008761,0.000364,0.207087
0.075000,-0.008964,0.004587,0.195468
0.079167,0.003203,-0.004144,0.219428
0.083333,-0.000365,-0.010103,0.217628
0.087500,0.020171,-0.008090,0.230994
0.091667,0.009385,0.000340,0.225524
0.095833,0.008424,-0.018787,0.222878
0.100000,-0.007382,-0.024501,0.250971
0.104167,0.033163,-0.008194,0.244586
0.108333,0.020271,-0.009860,0.239193
0.112500,-0.008868,-0.019794,0.252665
0.116667,-0.010955,-0.019685,0.248639
0.120833,0.003381,0.000636,0.254953
0.125000,0.022249,-0.006634,0.268508
0.129167,-0.003230,-0.010223,0.295952
0.133333,0.010208,0.000250,0.282279
0.137500,0.012263,0.005114,0.300418
0.141667,0.009809,0.022358,0.288305
0.145833,0.007380,0.002887,0.298913
0.150000,-0.006151,0.026946,0.301951
0.154167,0.028339,0.020096,0.321745
0.158333,-0.007340,0.018603,0.303344
0.162500,-0.003081,0.027358,0.326741
0.166667,0.016809,0.019135,0.316584
0.170833,0.043073,0.041973,0.325838
0.175000,0.009105,0.020607,0.339166
0.179167,-0.001096,0.022050,0.334276
0.183333,0.006652,0.038959,0.341612
0.187500,0.006746,0.035974,0.350231
0.191667,0.022429,0.032627,0.378827
0.195833,-0.001852,0.029751,0.356002
0.200000,0.024026,0.020392,0.363289
0.204167,0.017940,0.013330,0.389340
0.208333,0.016393,0.025014,0.373779
0.212500,-0.003610,0.022597,0.377286
0.216667,0.028448,0.030986,0.388172
0.220833,0.013434,0.021780,0.415840
0.225000,0.000044,0.003790,0.424542
0.229167,0.008784,0.011429,0.421859
0.233333,0.020794,0.014842,0.404902
0.237500,0.013141,-0.002013,0.418902
0.241667,0.011161,0.016683,0.412661
0.245833,-0.000230,-0.006444,0.443583
0.250000,0.034429,0.013761,0.426852
0.254167,0.043324,-0.007507,0.435419
0.258333,0.022673,0.016194,0.437032
0.262500,0.002182,-0.006419,0.461786
0.266667,0.034767,0.001732,0.471778
0.270833,0.033771,0.026178,0.481761
0.275000,0.015947,0.007773,0.466053
0.279167,-0.000866,0.019161,0.472456
0.283333,0.019666,0.017441,0.487909
0.287500,0.011695,0.027814,0.500329
0.291667,0.034845,0.028169,0.496328
0.295833,-0.000055,0.042587,0.503540
0.300000,0.016471,0.027353,0.509204
0.304167,0.017348,0.055320,0.521543
0.308333,0.003862,0.045423,0.513120
0.312500,0.018737,0.058514,0.526567
0.316667,0.022975,0.061996,0.523156
0.320833,0.034018,0.036955,0.539180
0.325000,0.005849,0.047968,0.524060
0.329167,0.012361,0.048761,0.542240
0.333333,0.027113,0.038450,0.531905
0.337500,0.049866,0.056107,0.540407
0.341667,0.041201,0.035981,0.556475
0.345833,0.014930,0.027092,0.553670
0.350000,0.027407,0.033327,0.548417
0.354167,0.038440,0.037134,0.551946
0.358333,0.023247,0.040898,0.581439
0.362500,-0.004204,0.028049,0.563355
0.366667,0.030341,0.016166,0.596510
0.370833,0.042555,0.014306,0.596539
0.375000,0.044590,0.005581,0.586349
0.379167,0.021444,0.027029,0.610478
0.383333,0.010675,0.004163,0.615005
0.387500,0.023020,0.014924,0.593331
0.391667,0.031644,0.011115,0.605116
0.395833,0.032897,0.005919,0.602439
0.400000,0.019998,0.022912,0.619723
0.404167,0.055524,0.010583,0.618776
0.408333,0.021808,0.015837,0.624940
0.412500,0.025417,0.027621,0.622584
0.416667,0.033385,0.024655,0.643053
0.420833,0.022326,0.038649,0.652241
0.425000,0.019180,0.030563,0.641674
0.429167,0.022513,0.027773,0.664467
0.433333,0.027886,0.045251,0.673119
0.437500,0.045540,0.034254,0.664176
0.441667,0.017673,0.048549,0.649976
0.445833,0.025625,0.057954,0.656393
0.450000,0.021731,0.043674,0.675326
0.454167,0.025049,0.056929,0.669147
0.458333,0.031758,0.073887,0.695993
0.462500,0.013069,0.051711,0.691238
0.466667,0.017306,0.052473,0.705638
0.470833,0.054957,0.065704,0.706065
0.475000,0.047926,0.071562,0.714874
0.479167,0.028773,0.057658,0.719179
0.483333,0.011177,0.067769,0.693872
0.487500,0.040522,0.039673,0.727649
0.491667,0.045441,0.039920,0.727363
0.495833,0.022420,0.035658,0.707771
0.500000,0.039882,0.031585,0.713824
0.504167,0.049239,0.040412,0.714933
0.508333,0.012345,0.027010,0.746435
0.512500,0.020375,0.039300,0.727527
0.516667,0.032398,0.037680,0.738281
0.520833,0.031493,0.037975,0.735731
0.525000,0.045477,0.028358,0.747854
0.529167,0.003946,0.014553,0.741924
0.533333,0.017003,0.012114,0.760506
0.537500,0.065727,0.031984,0.781234
0.541667,0.038548,0.024786,0.784754
0.545833,0.030404,0.026003,0.787155
0.550000,0.047847,0.039851,0.779599
0.554167,0.063409,0.023492,0.791513
0.558333,0.054165,0.026370,0.766718
0.562500,0.005101,0.036445,0.778054
0.566667,0.022018,0.042468,0.797838
0.570833,0.051328,0.053138,0.805179
0.575000,0.031484,0.041075,0.786113
0.579167,0.020581,0.045028,0.803649
0.583333,0.037406,0.059298,0.810944
0.587500,0.030309,0.063186,0.819376
0.591667,0.018921,0.072108,0.802309
0.595833,0.023184,0.078196,0.828880
0.600000,0.027694,0.074841,0.830079
0.604167,0.045760,0.075007,0.822171
0.608333,0.046305,0.077792,0.845426
0.612500,0.022006,0.063626,0.832856
0.616667,0.031170,0.083954,0.822814
0.620833,0.053382,0.076840,0.844807
0.625000,0.032922,0.075004,0.851984
0.629167,0.045219,0.064502,0.838940
0.633333,0.030266,0.057973,0.860839
0.637500,0.048399,0.047053,0.847345
0.641667,0.028566,0.053148,0.858549
0.645833,0.034300,0.042800,0.851952
0.650000,0.031808,0.045893,0.871025
0.654167,0.053796,0.043079,0.881828
0.658333,0.045216,0.054386,0.857977
0.662500,0.007764,0.042221,0.881404
0.666667,0.025055,0.046837,0.883272
0.670833,0.038591,0.052513,0.889990
0.675000,0.053052,0.034348,0.885857
0.679167,0.013770,0.034553,0.871505
0.683333,0.053187,0.048500,0.875097
0.687500,0.040415,0.050491,0.897414
0.691667,0.046130,0.035446,0.899329
0.695833,0.042036,0.030763,0.883859
0.700000,0.050734,0.039422,0.907682
0.704167,0.065835,0.057503,0.886346
0.708333,0.025494,0.055663,0.918503
0.712500,0.013203,0.048780,0.921473
0.716667,0.051583,0.059982,0.913842
0.720833,0.042606,0.072522,0.907240
0.725000,0.026648,0.072436,0.904666
0.729167,0.023996,0.083042,0.929426
0.733333,0.026324,0.077599,0.936313
0.737500,0.069930,0.085569,0.940533
0.741667,0.048301,0.093596,0.931132
0.745833,0.039716,0.083327,0.921519
0.750000,0.046151,0.083748,0.932962
0.754167,0.065438,0.082401,0.923546
0.758333,0.051594,0.084114,0.942221
0.762500,0.026820,0.090897,0.945310
0.766667,0.054168,0.085711,0.929381
0.770833,0.044819,0.081594,0.930027
0.775000,0.032065,0.064084,0.964232
0.779167,0.017571,0.066817,0.950816
0.783333,0.049178,0.060714,0.965839
0.787500,0.036636,0.056682,0.943484
0.791667,0.046977,0.073545,0.955304
0.795833,0.051199,0.052244,0.966381
0.800000,0.059322,0.045542,0.958621
0.804167,0.057611,0.066596,0.955372
0.808333,0.059992,0.047794,0.955415
0.812500,0.015314,0.064566,0.970882
0.816667,0.046315,0.054732,0.964689
0.820833,0.068053,0.049017,0.961202
0.825000,0.035551,0.064343,0.990747
0.829167,0.052870,0.037623,0.975337
0.833333,0.031233,0.062622,0.992462
0.837500,0.072795,0.054337,0.988919
0.841667,0.044803,0.055612,0.976893
0.845833,0.051101,0.053892,0.996291
0.850000,0.065752,0.065284,0.996645
0.854167,0.053801,0.082988,0.970639
0.858333,0.044857,0.075469,0.984623
0.862500,0.031887,0.073316,0.993359
0.866667,0.030518,0.072467,0.984555
0.870833,0.046177,0.071144,1.002229
0.875000,0.030562,0.073800,0.978817
0.879167,0.018408,0.077849,0.999281
0.883333,0.064453,0.089988,0.982046
0.887500,0.061080,0.078911,0.990696
0.891667,0.050015,0.104074,1.004099
0.895833,0.024524,0.095772,0.995788
0.900000,0.064726,0.104907,0.991576
0.904167,0.042539,0.087093,1.010917
0.908333,0.060979,0.092909,1.002054
0.912500,0.026487,0.093592,0.998196
0.916667,0.030235,0.071541,1.008108
0.920833,0.057474,0.088924,1.003319
0.925000,0.043150,0.086295,0.997119
0.929167,0.021584,0.074008,1.004717
0.933333,0.042954,0.061064,1.025485
0.937500,0.045435,0.078449,1.028527
0.941667,0.064163,0.073517,1.032629
0.945833,0.039566,0.069368,1.033737
0.950000,0.047001,0.058126,1.032529
0.954167,0.080484,0.069787,1.031642
0.958333,0.042954,0.061336,1.006656
0.962500,0.040150,0.062839,1.016787
0.966667,0.051613,0.063747,1.008359
0.970833,0.052879,0.056765,1.010621
0.975000,0.051573,0.064158,1.018943
0.979167,0.058422,0.062924,1.015441
0.983333,0.046234,0.064747,1.011581
0.987500,0.067158,0.069054,1.040779
0.991667,0.054989,0.069260,1.041949
0.995833,0.034946,0.084951,1.038299
1.000000,0.055121,0.077862,1.044208
1.004167,0.087414,0.098103,1.013869
1.008333,0.056096,0.098831,1.026243
1.012500,0.052715,0.085552,1.013931
1.016667,0.096956,0.110613,1.043573
1.020833,0.092326,0.094642,1.046605
1.025000,0.089231,0.101638,1.031933
1.029167,0.092647,0.112629,1.043665
1.033333,0.124945,0.104714,1.036216
1.037500,0.135238,0.116407,1.015815
1.041667,0.128008,0.119083,1.039470
1.045833,0.122199,0.104837,1.026004
1.050000,0.124283,0.106392,1.038500
1.054167,0.151951,0.097734,1.022014
1.058333,0.145471,0.100154,1.045472
1.062500,0.107210,0.100962,1.034157
1.066667,0.130606,0.105017,1.033044
1.070833,0.112600,0.078601,1.042483
1.075000,0.096618,0.071560,1.023338
1.079167,0.093891,0.083792,1.028442
1.083333,0.105584,0.071893,1.036017
1.087500,0.087622,0.078465,1.045679
1.091667,0.101997,0.073368,1.018350
1.095833,0.083651,0.070109,1.022405
1.100000,0.059076,0.080810,1.032958
1.104167,0.096811,0.055033,1.017305
1.108333,0.060149,0.055990,1.046587
1.112500,0.057842,0.059713,1.034192
1.116667,0.061379,0.058423,1.028385
1.120833,0.079679,0.072167,1.012451
1.125000,0.073224,0.078366,1.016795
1.129167,0.039007,0.092203,1.041195
1.133333,0.041267,0.088767,1.019282
1.137500,0.056375,0.116597,1.042945
1.141667,0.059639,0.106650,1.026111
1.145833,0.046835,0.131287,1.019208
1.150000,0.032414,0.109931,1.020432
1.154167,0.070991,0.138856,1.016171
1.158333,0.035049,0.146588,1.022357
1.162500,0.035148,0.131916,1.034110
1.166667,0.059964,0.148965,1.039266
1.170833,0.057671,0.137231,1.019090
1.175000,0.062319,0.148822,1.008136
1.179167,0.030874,0.162647,1.011924
1.183333,-0.005241,0.146792,1.013344
1.187500,-0.031551,0.140669,1.002527
1.191667,-0.082703,0.146583,1.031721
1.195833,-0.126970,0.163122,1.022342
1.200000,-0.065470,0.142434,1.012057
1.204167,-0.018090,0.141442,1.021278
1.208333,0.099336,0.129672,1.021440
1.212500,0.233894,0.152018,1.010180
1.216667,0.452742,0.128573,1.004091
1.220833,0.717947,0.136443,0.998082
1.225000,0.941266,0.132472,0.994358
1.229167,1.098314,0.134312,0.990324
1.233333,1.188520,0.123624,1.000739
1.237500,1.113757,0.135139,1.010910
1.241667,0.927272,0.118385,0.999091
1.245833,0.652659,0.122340,0.983895
1.250000,0.390966,0.115516,0.980835
1.254167,0.158271,0.111832,1.010713
1.258333,-0.010822,0.110297,0.992672
1.262500,-0.155792,0.138527,1.005870
1.266667,-0.144021,0.131332,0.986422
1.270833,-0.095384,0.139642,0.990205
1.275000,-0.036745,0.126574,0.985182
1.279167,-0.002763,0.141429,0.984213
1.283333,0.027199,0.165125,0.991412
1.287500,0.073711,0.157064,0.971544
1.291667,0.052942,0.168706,0.973015
1.295833,0.045471,0.173793,0.984313
1.300000,0.052441,0.201272,0.987757
1.304167,0.099163,0.221375,0.989945
1.308333,0.071198,0.221213,0.986540
1.312500,0.051125,0.239946,0.957712
1.316667,0.086432,0.253664,0.985837
1.320833,0.098463,0.266576,0.961506
1.325000,0.081967,0.302012,0.964060
1.329167,0.070485,0.322307,0.962312
1.333333,0.088833,0.309947,0.969598
1.337500,0.121218,0.342516,0.975031
1.341667,0.137786,0.351818,0.957353
1.345833,0.114266,0.362471,0.937884
1.350000,0.154610,0.351271,0.952735
1.354167,0.153561,0.364504,0.951196
1.358333,0.151633,0.363840,0.944330
1.362500,0.160609,0.369383,0.941397
1.366667,0.159463,0.340169,0.933295
1.370833,0.197316,0.322545,0.934249
1.375000,0.204363,0.304110,0.925652
1.379167,0.213992,0.300325,0.931849
1.383333,0.234788,0.268431,0.933866
1.387500,0.255861,0.258776,0.921705
1.391667,0.269327,0.243355,0.926737
1.395833,0.256389,0.207002,0.923446
1.400000,0.261977,0.202759,0.918931
1.404167,0.282712,0.186720,0.902715
1.408333,0.283656,0.188565,0.910162
1.412500,0.285935,0.175567,0.905972
1.416667,0.333357,0.160392,0.925523
1.420833,0.326912,0.145891,0.901723
1.425000,0.322406,0.157042,0.912840
1.429167,0.315313,0.142406,0.911028
1.433333,0.364590,0.134160,0.901327
1.437500,0.378315,0.127898,0.882758
1.441667,0.341401,0.147009,0.900123
1.445833,0.346216,0.156653,0.896329
1.450000,0.345456,0.155285,0.868608
1.454167,0.366277,0.136194,0.866732
1.458333,0.376292,0.156539,0.866762
1.462500,0.348681,0.130739,0.873361
1.466667,0.338365,0.141087,0.874413
1.470833,0.347052,0.150008,0.881645
1.475000,0.328454,0.151381,0.867316
1.479167,0.323206,0.128649,0.861515
1.483333,0.331965,0.126019,0.864496
1.487500,0.315463,0.132427,0.849661
1.491667,0.327581,0.132744,0.851115
1.495833,0.306699,0.115554,0.852896
1.500000,0.280766,0.107426,0.856817
1.504167,0.285173,0.113192,0.824702
1.508333,0.251601,0.124650,0.840921
1.512500,0.228931,0.108749,0.850995
1.516667,0.223458,0.108062,0.826564
1.520833,0.238171,0.111208,0.821061
1.525000,0.227365,0.110521,0.807440
1.529167,0.203583,0.088032,0.806769
1.533333,0.188363,0.114233,0.815953
1.537500,0.207045,0.106430,0.821799
1.541667,0.168104,0.110057,0.810568
1.545833,0.138757,0.100972,0.803850
1.550000,0.152630,0.108725,0.799238
1.554167,0.155963,0.106291,0.794633
1.558333,0.134965,0.122395,0.803504
1.562500,0.103314,0.116327,0.796728
1.566667,0.119424,0.121200,0.798724
1.570833,0.114157,0.125062,0.791791
1.575000,0.092709,0.136867,0.764847
1.579167,0.074831,0.112182,0.780353
1.583333,0.102623,0.117163,0.765100
1.587500,0.082800,0.132474,0.750280
1.591667,0.079003,0.121806,0.768227
1.595833,0.039752,0.134569,0.774061
1.600000,0.070474,0.152418,0.752744
1.604167,0.058603,0.130071,0.763649
1.608333,0.063538,0.139274,0.745502
1.612500,0.032368,0.143802,0.741897
1.616667,0.065227,0.131946,0.740999
1.620833,0.071923,0.140353,0.718068
1.625000,0.036647,0.127323,0.744465
1.629167,0.053527,0.127392,0.733763
1.633333,0.042078,0.138556,0.734462
1.637500,0.050524,0.133075,0.720166
1.641667,0.031522,0.120210,0.714253
1.645833,0.010582,0.111314,0.714546
1.650000,0.056490,0.118487,0.690809
1.654167,0.037743,0.115910,0.699104
1.658333,0.040326,0.112468,0.684713
1.662500,0.041416,0.110744,0.690906
1.666667,0.053926,0.098523,0.694090
1.670833,0.036171,0.090555,0.681284
1.675000,0.053967,0.093762,0.663526
1.679167,0.021316,0.083694,0.684470
1.683333,0.039200,0.091111,0.660466
1.687500,0.042778,0.112374,0.667662
1.691667,0.030364,0.097484,0.672657
1.695833,0.007914,0.106745,0.649348
1.700000,0.016959,0.101289,0.642790
1.704167,0.038046,0.122405,0.633686
1.708333,0.017767,0.122912,0.632754
1.712500,0.014971,0.109652,0.632481
1.716667,0.039271,0.123640,0.613942
1.720833,0.045240,0.109571,0.633379
1.725000,0.024275,0.115648,0.610752
1.729167,0.023057,0.144304,0.629980
1.733333,0.038959,0.122518,0.601417
1.737500,0.056099,0.130965,0.617493
1.741667,0.050760,0.131302,0.590266
1.745833,0.008977,0.137907,0.597380
1.750000,0.030533,0.128444,0.572971
1.754167,0.029569,0.141835,0.579326
1.758333,0.040634,0.137101,0.564029
1.762500,0.012969,0.129540,0.568242
1.766667,0.018506,0.137708,0.562555
1.770833,0.049596,0.139695,0.567184
1.775000,0.022165,0.131350,0.547283
1.779167,0.006005,0.133736,0.553133
1.783333,0.037660,0.127083,0.557738
1.787500,0.030916,0.115451,0.528448
1.791667,0.020384,0.126865,0.542880
1.795833,0.007960,0.123142,0.548956
1.800000,0.010887,0.094394,0.534916
1.804167,0.025804,0.098908,0.511457
1.808333,0.012247,0.108958,0.513227
1.812500,0.010647,0.111154,0.523434
1.816667,0.030212,0.093777,0.494817
1.820833,0.034307,0.096452,0.516227
1.825000,0.047868,0.112523,0.501531
1.829167,0.025681,0.098916,0.480577
1.833333,0.037293,0.103231,0.490112
1.837500,0.032069,0.092396,0.496362
1.841667,0.035289,0.105538,0.468277
1.845833,0.013329,0.108941,0.481195
1.850000,0.044373,0.103624,0.459955
1.854167,0.036541,0.122643,0.442693
1.858333,0.040081,0.123058,0.452235
1.862500,0.005171,0.123952,0.433452
1.866667,0.021012,0.131641,0.442271
1.870833,0.062165,0.124513,0.452596
1.875000,0.026483,0.130297,0.440443
1.879167,0.008307,0.122274,0.430651
1.883333,0.055382,0.148583,0.428445
1.887500,0.071474,0.153894,0.417339
1.891667,0.039609,0.137470,0.415692
1.895833,0.022664,0.146557,0.393148
1.900000,0.046406,0.150835,0.407210
1.904167,0.078254,0.136405,0.374518
1.908333,0.054744,0.127024,0.394471
1.912500,0.074621,0.134937,0.385268
1.916667,0.093947,0.136295,0.387525
1.920833,0.110147,0.129790,0.356162
1.925000,0.096935,0.123905,0.355606
1.929167,0.075859,0.126147,0.345961
1.933333,0.118904,0.113018,0.347825
1.937500,0.132975,0.108589,0.336466
1.941667,0.107537,0.095345,0.340881
1.945833,0.071830,0.119167,0.325473
1.950000,0.088574,0.096675,0.340197
1.954167,0.094954,0.109963,0.320275
1.958333,0.084926,0.098693,0.317228
1.962500,0.078431,0.101921,0.299973
1.966667,0.089253,0.098197,0.322045
1.970833,0.058502,0.095211,0.289595
1.975000,0.048498,0.108011,0.279598
1.979167,0.034686,0.102458,0.276954
1.983333,0.062879,0.109699,0.265822
1.987500,0.055644,0.111611,0.272954
1.991667,0.033847,0.132721,0.272603
1.995833,0.005068,0.143726,0.263523
2.000000,0.033496,0.151516,0.256291
2.004167,0.039862,0.143429,0.263352
2.008333,0.019277,0.160644,0.262007
2.012500,0.025263,0.164331,0.244031
2.016667,0.018455,0.169807,0.249620
2.020833,0.048838,0.169295,0.219499
2.025000,0.003762,0.173714,0.216279
2.029167,-0.005121,0.184425,0.204023
2.033333,0.020886,0.170564,0.197348
2.037500,0.040086,0.188900,0.196137
2.041667,0.008709,0.187076,0.216695
2.045833,-0.005489,0.188934,0.208748
2.050000,-0.002768,0.179531,0.174609
2.054167,0.019590,0.192040,0.167770
2.058333,0.024340,0.188949,0.165996
2.062500,0.006259,0.177931,0.181063
2.066667,-0.024898,0.168093,0.159596
2.070833,-0.040012,0.167331,0.153185
2.075000,-0.094618,0.176780,0.164155
2.079167,-0.142734,0.169446,0.143364
2.083333,-0.133343,0.142877,0.135813
2.087500,-0.063451,0.155708,0.123738
2.091667,-0.003728,0.142936,0.118606
2.095833,0.137751,0.157772,0.124563
