time,analog_channel_a,analog_channel_b,motion_proxy
0.000000,0.016378,0.060525,-0.031208
0.008333,0.497190,0.257663,-0.011835
0.016667,0.525719,0.255631,0.049832
0.025000,0.270751,0.191761,0.058104
0.033333,0.026924,0.115746,0.132925
0.041667,0.089763,0.200621,0.216738
0.050000,0.137432,0.293919,0.176296
0.058333,0.260907,0.480105,0.243817
0.066667,0.706321,0.783157,0.261447
0.075000,0.924383,0.795113,0.218677
0.083333,0.716367,0.663024,0.208373
0.091667,0.398076,0.418711,0.207437
0.100000,0.484541,0.436762,0.209383
0.108333,0.437804,0.461240,0.303822
0.116667,0.557761,0.520869,0.239680
0.125000,0.665018,0.699353,0.209516
0.133333,1.079404,0.900726,0.220919
0.141667,0.789013,0.824290,0.224344
0.150000,0.322497,0.345880,0.125323
0.158333,0.268797,0.173235,0.090064
0.166667,0.473488,0.283222,0.178656
0.175000,0.456162,0.508834,0.109907
0.183333,0.560745,0.464965,0.049499
0.191667,0.411613,0.338219,0.018678
0.200000,0.352940,0.462376,0.069976
0.208333,-0.003013,-0.008285,-0.009372
0.216667,-0.150610,-0.166665,0.039154
0.225000,-0.152364,-0.333410,0.088637
0.233333,0.089076,0.069758,0.083760
0.241667,-0.031821,-0.021862,0.107326
0.250000,0.029415,-0.167372,0.081539
0.258333,0.058086,-0.206784,0.076620
0.266667,-0.331712,-0.238361,0.111414
0.275000,-0.756890,-0.698644,0.180695
0.283333,-0.699499,-0.867153,0.220038
0.291667,-0.513664,-0.637339,0.154026
0.300000,-0.169332,-0.312826,0.250115
0.308333,-0.292165,-0.508047,0.304165
0.316667,-0.507425,-0.469599,0.350062
0.325000,-0.699956,-0.717964,0.376900
0.333333,-0.814475,-0.807818,0.404955
0.341667,-0.844706,-0.967230,0.446613
0.350000,-0.771178,-0.653753,0.488673
0.358333,-0.492984,-0.375703,0.460163
0.366667,-0.079985,-0.178950,0.506166
0.375000,-0.518493,-0.498142,0.483327
0.383333,-0.602284,-0.498240,0.461325
0.391667,-0.476514,-0.515321,0.477075
0.400000,-0.752686,-0.365964,0.506115
0.408333,-0.499988,-0.510284,0.492272
0.416667,-0.364222,-0.292839,0.466383
0.425000,0.284712,0.082755,0.499932
0.433333,0.216460,0.086383,0.412894
0.441667,-0.085807,-0.083276,0.450931
0.450000,-0.351383,-0.122084,0.485215
0.458333,-0.186566,-0.046837,0.390599
0.466667,0.100561,0.171377,0.428445
0.475000,0.293173,0.160379,0.313063
0.483333,0.378731,0.592080,0.318613
0.491667,0.758218,0.591236,0.268672
0.500000,0.434415,0.469706,0.217093
0.508333,0.002694,0.243783,0.280456
0.516667,0.129309,0.384493,0.211237
0.525000,0.586258,0.658397,0.284081
0.533333,0.764980,0.663746,0.188321
0.541667,0.672679,0.630783,0.255527
0.550000,0.681952,0.900160,0.222290
0.558333,0.745048,0.603360,0.229752
0.566667,0.493298,0.359071,0.245917
0.575000,0.327688,0.323775,0.252852
0.583333,0.393617,0.609984,0.318207
0.591667,0.875018,0.556140,0.245196
0.600000,0.817408,0.587440,0.264528
0.608333,0.653551,0.542850,0.297813
0.616667,0.575222,0.537725,0.420703
0.625000,0.226369,0.169597,0.384554
0.633333,0.083554,0.020151,0.415973
0.641667,-0.018372,-0.080173,0.505544
0.650000,0.410539,0.344669,0.495776
0.658333,0.443984,0.308444,0.459750
0.666667,0.276456,0.160531,0.559248
0.675000,0.146836,-0.159781,0.597506
0.683333,-0.145509,-0.293688,0.537993
0.691667,-0.358017,-0.339376,0.560088
0.700000,-0.509584,-0.422134,0.612704
0.708333,-0.051064,-0.257714,0.558464
0.716667,0.062853,-0.156782,0.600618
0.725000,0.011484,-0.298450,0.610264
0.733333,-0.346625,-0.452157,0.556566
0.741667,-0.752022,-0.549769,0.550251
0.750000,-0.730517,-0.608822,0.475840
0.758333,-0.611403,-0.785969,0.424591
0.766667,-0.749594,-0.608926,0.471473
0.775000,-0.189716,-0.427442,0.398478
0.783333,-0.294884,-0.171223,0.358125
0.791667,-0.652315,-0.563223,0.360110
0.800000,-0.796467,-0.863610,0.274272
0.808333,-0.982700,-0.697561,0.269203
0.816667,-0.648149,-0.436507,0.204063
0.825000,-0.641454,-0.332300,0.201815
0.833333,-0.407760,-0.249801,0.140016
0.841667,-0.090779,-0.156285,0.121122
0.850000,-0.398873,-0.038625,0.124330
0.858333,-0.649111,-0.378386,0.161702
0.866667,-0.729392,-0.455646,0.141464
0.875000,-0.414125,-0.050515,0.142322
0.883333,-0.244973,-0.007324,0.182034
0.891667,-0.084845,0.124139,0.219729
0.900000,0.001831,0.294885,0.169586
0.908333,0.116994,0.342112,0.191956
0.916667,-0.055535,0.158534,0.165447
0.925000,-0.324409,-0.007389,0.208364
0.933333,-0.066841,0.229354,0.317995
0.941667,0.567408,0.440641,0.250700
0.950000,0.733012,0.656894,0.333479
0.958333,0.548200,0.442683,0.296513
0.966667,0.512885,0.522075,0.311490
0.975000,0.351342,0.435355,0.344794
0.983333,0.181581,0.406984,0.428451
0.991667,0.054802,0.380715,0.388343
1.000000,0.537721,0.490402,0.355359
1.008333,1.039861,0.712956,0.401038
1.016667,0.758327,0.730846,0.412711
1.025000,0.480713,0.369438,0.450423
1.033333,0.434537,0.422082,0.418395
1.041667,0.569626,0.243210,0.355949
1.050000,0.191040,0.140403,0.317676
1.058333,0.416448,0.179593,0.296981
1.066667,0.887790,0.543078,0.294278
1.075000,1.000091,0.642124,0.178841
1.083333,0.428180,0.219772,0.178805
1.091667,0.122881,-0.067617,0.220534
1.100000,0.237134,0.005125,0.085515
1.108333,-0.048612,0.015269,0.041415
